,author_id,title,country,reviews,date,total_reviews_written,upvote,reviewer_name,ratings,start_time,end_time,companyName,scraped_site
45,5f56041402e8570814017b3f,Fabulous shipping service with…,US,Fabulous shipping service with affordable freight charges. Great customer service. Delivers the packages on time. Make sure that there is 0% damage to the goods. Glad to hire them.,2020-09-07T09:57:40.000Z,5,0,Jane Bates,5.0,2021-05-28 13:37:37.514501,2021-05-28 13:37:37.680059,Coshipper,Trustpilot
46,5f50c69802e85708c8dee56c,Coshipper always delivers the package…,US,"Coshipper always delivers the package on time. Their services are highly appreciated. Also, there was no damage done to the products.",2020-09-03T10:34:00.000Z,3,0,Vanessa Grant,5.0,2021-05-28 13:37:37.680059,2021-05-28 13:37:39.929883,Coshipper,Trustpilot
47,5f2ad7e21a5a690a04204f89,Bad experience...Disappointed.,CA,"We tried Coshipper because of these 5-star reviews. We selected the fastest shipping option which was supposed to take around 11 – 18 days and even settled the full cost initially. This was all to make sure that we got the best service that they could offer. Shipping was initiated in late June. Now we’re in the month of August and our goods still haven’t been delivered. This was a very sad experience for us considering this was our first try with Coshipper. We would like this issue to be resolved as soon as possible.

Update: The rest of the goods were delivered on the 19th of August.",2020-08-21T17:59:48.000Z,1,1,Francis Kene,1.0,2021-05-28 13:37:39.929883,2021-05-28 13:37:44.123141,Coshipper,Trustpilot
48,5f1ec1091a5a69071c968e72,I am glad to choose CoShipper since…,US,I am glad to choose CoShipper since their team and business manager has been providing timely feedback and updates on delivery status needs during this tough time with the COVID-19 pandemic and the large delays with amazon's fulfillment centres,2020-07-27T11:56:57.000Z,5,0,Glenn Rodriguez,5.0,2021-05-28 13:37:44.123141,2021-05-28 13:37:44.402904,Coshipper,Trustpilot
49,5f16bb703f06f208b4f0807b,Satisfied customers,US,"We have worked with Coshipper for six months and they continue to impress with their responsiveness, helpful attitude, and reliability. Their shipping rates are even lower as compared to others! We are satisfied customers.",2020-07-21T09:54:56.000Z,1,0,Muriel,5.0,2021-05-28 13:37:44.402904,2021-05-28 13:37:46.612747,Coshipper,Trustpilot
50,5f06e8c43f06f202a4592a2d,Thanks a lot,US,Thanks a lot. It was a really big help for us. You guys have shipped the entire testing kits to our clients without any delay. We are now able to provide coverage to a wide multi-county service area. The transaction was easy too!!,2020-07-09T09:52:04.000Z,2,0,Linda Graham,5.0,2021-05-28 13:37:46.612747,2021-05-28 13:37:48.960339,Coshipper,Trustpilot
51,5efdc6fa3f06f20658d024bb,I am highly impressed with my experience!,US,"This platform provides competitive freight shipping prices and an all-inclusive, easy-to-use shipping experience to its customers. I am highly impressed with my experience!",2020-07-02T11:37:30.000Z,3,0,Carlton Huber,5.0,2021-05-28 13:37:48.960339,2021-05-28 13:37:53.155849,Coshipper,Trustpilot
52,5e915b5a086b6409bc8206be,This was a particularly good experience.,US,"Long time Amazon seller for many years, I can't believe I found such a good freight forwarder in the Amazon service. The various information of Coshipper is very transparent, such as quotation, cargo tracking information, and cargo clearance status. I opened an account on the Coshipper website and I can view all the information about my shipment at any time.This was a particularly good experience.",2020-04-11T05:53:30.000Z,3,0,Clifton Evans,5.0,2021-05-28 13:37:53.155849,2021-05-28 13:37:56.343573,Coshipper,Trustpilot
53,5e8db10c086b6409bc7fde47,Thank you,US,very serious and thank you for this support path. I strongly recommend.,2020-04-08T11:10:04.000Z,4,0,Donna Read,5.0,2021-05-28 13:37:56.343573,2021-05-28 13:38:00.552827,Coshipper,Trustpilot
54,5e78c5153c93ae09180d2c1f,These guys awesome,US,Have used these guys for all my shipment and never have to worry. Will stick with these guys forever!,2020-03-23T14:17:57.000Z,3,0,Mary Davies,5.0,2021-05-28 13:38:00.552827,2021-05-28 13:38:04.726294,Coshipper,Trustpilot
55,5e71d2ab3c93ae0964661ef3,Good work guys!,US,I've been doing Amazon FBA by 3 yers by now and I have worked with a lot of forwarders until i have found Coshipper. They are fast and reliable and they keep you informed all the way until the goods are delivered. Quick replies and best prices make them always my first choice when it comes to shipping. Good work guys! Thank you!,2020-03-18T07:50:03.000Z,8,0,Edward Burley,5.0,2021-05-28 13:38:04.726294,2021-05-28 13:38:07.935419,Coshipper,Trustpilot
56,5e6ca1963c93ae096463d283,Faster delivery service,US,"The Response from the forwarder and my business manager was really sold and consistant. Used their door to door Express Ocean service, 15 days so the delivery was faster than I actually expected, but right on time.",2020-03-14T09:19:18.000Z,3,0,Nicola Graham,5.0,2021-05-28 13:38:07.935419,2021-05-28 13:38:11.162128,Coshipper,Trustpilot
